schema_version,population,season,horizon,intercept,slope,se_intercept,se_slope,slope_lo,slope_hi,n,clusters,fit_status,reason,converged,iterations,cluster_se
1,all_eligible,2023,4-6,-0.133306506461,0.786138226643,0.0350266301934,0.0244764614593,0.738164362183,0.834112091103,13213,5128,ok,,True,7,True
1,all_eligible,2023,7+,-0.156586325134,0.729225195785,0.0469532643608,0.0305835100529,0.669281516082,0.789168875489,22023,4118,ok,,True,7,True
1,all_eligible,2024,0,-0.0845241654656,0.836048804549,0.0444557917016,0.0308099327241,0.77566133641,0.896436272688,7506,651,ok,,True,7,True
1,all_eligible,2024,1,-0.0754933929321,0.807746943192,0.0290185236434,0.0210494613378,0.766489998969,0.849003887414,6497,6497,ok,,True,7,True
1,all_eligible,2024,2-3,-0.0635122760234,0.777418462454,0.0311571840504,0.021787985732,0.734714010419,0.820122914489,11134,6007,ok,,True,7,True
1,all_eligible,2024,4-6,-0.0710969405765,0.74062740995,0.0351289511084,0.02432351349,0.69295332351,0.788301496391,13272,5097,ok,,True,7,True
1,all_eligible,2024,7+,-0.0837898052063,0.684914334587,0.0482371766467,0.0309874306089,0.624178970593,0.74564969858,21817,4097,ok,,True,7,True
1,all_eligible,2025,0,-0.0911541295369,0.891524141142,0.0330715626801,0.0252480491998,0.84203796471,0.941010317574,7514,663,ok,,True,8,True
1,all_eligible,2025,1,-0.0895034882981,0.840923369282,0.0277511194747,0.020725625634,0.800301143039,0.881545595524,6429,6429,ok,,True,7,True
1,all_eligible,2025,2-3,-0.111467283856,0.808380146416,0.0303545525441,0.0223661591631,0.764542474456,0.852217818375,11040,5998,ok,,True,7,True
1,all_eligible,2025,4-6,-0.15211918873,0.771265271235,0.0349672810993,0.0252970893131,0.721682976181,0.820847566289,13163,5090,ok,,True,7,True
1,all_eligible,2025,7+,-0.220957080136,0.707891517097,0.0455474509263,0.0310997760149,0.646935956108,0.768847078087,21490,4060,ok,,True,7,True
1,available,2011,0,-0.135143226822,0.871192910438,0.0431910406084,0.0453739602613,0.782259948326,0.960125872551,5468,408,ok,,True,7,True
1,available,2011,1,-0.201170378688,0.85493526335,0.0316005921393,0.0256641745226,0.804633481286,0.905237045415,5230,5230,ok,,True,8,True
1,available,2011,2-3,-0.210079269082,0.834738402915,0.0338302076335,0.0274490590251,0.780938247226,0.888538558605,9327,4870,ok,,True,7,True
1,available,2011,4-6,-0.209552134916,0.824240823905,0.0377120288374,0.0302616900312,0.764927911444,0.883553736366,11363,4138,ok,,True,7,True
1,available,2011,7+,-0.179676936723,0.806008225975,0.0475284055232,0.0380945240491,0.731342958839,0.880673493112,17978,3247,ok,,True,7,True
1,available,2012,0,-0.12399590621,0.887373251392,0.0468627693077,0.0326921179235,0.823296700262,0.951449802522,5456,407,ok,,True,8,True
1,available,2012,1,-0.168567868704,0.875861497487,0.0307003492351,0.0239723536315,0.828875684369,0.922847310604,5178,5178,ok,,True,8,True
1,available,2012,2-3,-0.161589725576,0.87526016902,0.0322660145533,0.0245134762323,0.827213755605,0.923306582435,9226,4826,ok,,True,8,True
1,available,2012,4-6,-0.17459583443,0.85214405323,0.0353498504444,0.0269774829067,0.799268186733,0.905019919727,11325,4122,ok,,True,7,True
1,available,2012,7+,-0.203489408937,0.801205771877,0.0462870522534,0.034021050531,0.734524512836,0.867887030918,17857,3242,ok,,True,7,True
1,available,2013,0,-0.0739197950231,0.875626193806,0.0323721276822,0.0284427363626,0.819878430536,0.931373957077,5559,406,ok,,True,7,True
1,available,2013,1,-0.138404874294,0.849794869498,0.0295959350687,0.0226183853002,0.80546283431,0.894126904687,5274,5274,ok,,True,7,True
1,available,2013,2-3,-0.134122433419,0.840066218377,0.0311212112711,0.0236809428282,0.793651570433,0.88648086632,9403,4923,ok,,True,7,True
1,available,2013,4-6,-0.142451769198,0.822225531284,0.0347669216126,0.0266354198693,0.77002010834,0.874430954228,11503,4209,ok,,True,7,True
1,available,2013,7+,-0.12773674678,0.793854057374,0.0429180603356,0.0319656144675,0.731201453017,0.85650666173,17830,3247,ok,,True,7,True
1,available,2014,0,-0.14197426836,0.842866647239,0.0410811616786,0.0377980982216,0.768782374724,0.916950919753,5497,408,ok,,True,7,True
1,available,2014,1,-0.184228575353,0.834605714666,0.0307965521257,0.0247645073993,0.786067280163,0.883144149168,5234,5234,ok,,True,7,True
1,available,2014,2-3,-0.190451800899,0.808742655013,0.0332541974027,0.0262985524754,0.757197492162,0.860287817865,9339,4875,ok,,True,7,True
1,available,2014,4-6,-0.234573514716,0.773767866218,0.0387774101629,0.0297326888479,0.715491796076,0.83204393636,11430,4173,ok,,True,7,True
1,available,2014,7+,-0.319282050919,0.735429894632,0.0520455663986,0.0389827122007,0.659023778719,0.811836010545,17829,3213,ok,,True,7,True
1,available,2015,0,-0.0686903436802,0.886017171166,0.0555122208791,0.0393561488388,0.808879119442,0.96315522289,5250,404,ok,,True,7,True
1,available,2015,1,-0.124923297367,0.862312970943,0.0323704847733,0.0246851899549,0.813929998631,0.910695943254,4949,4949,ok,,True,7,True
1,available,2015,2-3,-0.127125797615,0.861119287314,0.0343779144761,0.0259186597147,0.810318714273,0.911919860355,8824,4632,ok,,True,7,True
1,available,2015,4-6,-0.0928299250983,0.865812100329,0.0379119859056,0.0284918232161,0.809968126826,0.921656073833,10816,3950,ok,,True,7,True
1,available,2015,7+,-0.111082015176,0.823347747713,0.0488425420043,0.035093425917,0.754564632915,0.89213086251,16889,3093,ok,,True,7,True
1,available,2016,0,-0.139213466775,0.861535031795,0.0369876644536,0.0292129279157,0.80427769308,0.918792370509,8155,844,ok,,True,8,True
1,available,2016,1,-0.195975459069,0.834966060692,0.0282594305671,0.0207060576618,0.794382187675,0.875549933709,7571,7571,ok,,True,8,True
1,available,2016,2-3,-0.194793604069,0.813631268925,0.0295816809094,0.0215970715951,0.771301008599,0.855961529252,13241,6940,ok,,True,8,True
1,available,2016,4-6,-0.205423029109,0.789793769237,0.0324497147783,0.0234859357456,0.743761335175,0.835826203298,15962,5870,ok,,True,7,True
1,available,2016,7+,-0.253163184361,0.724918646595,0.0430863213003,0.0297957129309,0.66651904925,0.783318243939,24195,4607,ok,,True,7,True
1,available,2017,0,-0.158341000413,0.891227065563,0.0376762694354,0.0277508741285,0.836835352271,0.945618778855,7926,644,ok,,True,8,True
1,available,2017,1,-0.204085890659,0.863058318227,0.0298665855532,0.0222797064478,0.819390093589,0.906726542864,7511,7511,ok,,True,8,True
1,available,2017,2-3,-0.20790455312,0.843968761464,0.0315743024205,0.0232547615532,0.798389428819,0.889548094108,13191,6914,ok,,True,8,True
1,available,2017,4-6,-0.227541870743,0.818847016845,0.0354783073035,0.0257101260958,0.768455169697,0.869238863993,15739,5755,ok,,True,8,True
1,available,2017,7+,-0.259631178452,0.781881631977,0.0441111666527,0.0314148573284,0.720308511613,0.84345475234,23700,4370,ok,,True,7,True
1,available,2018,0,-0.086533000437,0.816872196869,0.042063450553,0.0332434482613,0.751715038276,0.882029355461,7699,652,ok,,True,7,True
1,available,2018,1,-0.13926053612,0.79308536446,0.0291858811457,0.02091938175,0.75208337623,0.83408735269,7310,7310,ok,,True,7,True
1,available,2018,2-3,-0.161537813761,0.769534490226,0.0308717352136,0.0220974788661,0.726223431648,0.812845548804,12768,6702,ok,,True,7,True
1,available,2018,4-6,-0.184813310858,0.736914753541,0.0349928161216,0.0250113208539,0.687892564667,0.785936942415,15135,5587,ok,,True,7,True
1,available,2018,7+,-0.304715963426,0.649525663145,0.0516767284215,0.0359248226954,0.579113010662,0.719938315628,22518,4231,ok,,True,7,True
1,available,2019,0,-0.114612878715,0.875753924288,0.0345901635854,0.0276291571045,0.821600776363,0.929907072213,7118,639,ok,,True,7,True
1,available,2019,1,-0.141553799854,0.840995611908,0.0291664075319,0.0219323663566,0.798008173849,0.883983049967,6268,6268,ok,,True,7,True
1,available,2019,2-3,-0.125539973364,0.808137408121,0.0309403028091,0.0227757327299,0.763496971971,0.852777844272,10594,5727,ok,,True,7,True
1,available,2019,4-6,-0.130977564088,0.770982840896,0.0346372972718,0.0254257275045,0.721148414987,0.820817266804,12402,4770,ok,,True,7,True
1,available,2019,7+,-0.171211975953,0.719738373556,0.0419050609487,0.0309390713583,0.659097793694,0.780378953419,18948,3715,ok,,True,7,True
1,available,2020,0,-0.025455179279,0.882976666166,0.0333934739092,0.0256007499031,0.832799196356,0.933154135976,7229,675,ok,,True,7,True
1,available,2020,1,-0.0268878894346,0.849196679625,0.0255720218421,0.0197975883097,0.810393406538,0.887999952712,6105,6105,ok,,True,7,True
1,available,2020,2-3,-0.0334976487839,0.829106636603,0.0270897818328,0.0207662210728,0.7884048433,0.869808429906,10371,5671,ok,,True,7,True
1,available,2020,4-6,-0.0414282427498,0.809869490479,0.0306064225135,0.0234670037093,0.763874163208,0.855864817749,12272,4828,ok,,True,7,True
1,available,2020,7+,-0.024775214365,0.784318535997,0.0385234810696,0.028550111598,0.728360317265,0.840276754729,18863,3846,ok,,True,7,True
1,available,2021,0,-0.163619353128,0.858019116464,0.0338437827522,0.0254148342186,0.808206041396,0.907832191533,7611,715,ok,,True,7,True
1,available,2021,1,-0.167317420834,0.816389876747,0.0262469356461,0.0196236249563,0.777927571832,0.854852181661,6316,6316,ok,,True,7,True
1,available,2021,2-3,-0.171867185536,0.790822601424,0.0273608066702,0.0204265941108,0.750786476966,0.830858725881,10783,5947,ok,,True,7,True
1,available,2021,4-6,-0.189536634923,0.765346878765,0.0302972602297,0.022977256482,0.720311456061,0.81038230147,12719,5051,ok,,True,7,True
1,available,2021,7+,-0.206646478176,0.745760988823,0.0366824476982,0.0274789995146,0.691902149774,0.799619827871,21062,4033,ok,,True,7,True
1,available,2022,0,-0.166168001415,0.87165030425,0.0321313098075,0.0248992659859,0.822847742918,0.920452865582,7532,664,ok,,True,8,True
1,available,2022,1,-0.150666279521,0.85561234815,0.0264393610652,0.0208350965237,0.814775558963,0.896449137336,6433,6433,ok,,True,7,True
1,available,2022,2-3,-0.154144307241,0.848989071292,0.0274127125696,0.0219411201977,0.805984475705,0.89199366688,10913,5947,ok,,True,7,True
1,available,2022,4-6,-0.140043362502,0.837295959862,0.0305122237582,0.0241065672284,0.790047088095,0.88454483163,12924,5096,ok,,True,7,True
1,available,2022,7+,-0.169954668523,0.816189823734,0.0396578438413,0.0296840637054,0.758009058871,0.874370588597,21285,4064,ok,,True,7,True
1,available,2023,0,-0.127648220523,0.855726354303,0.0420802202876,0.0279573090426,0.80093002858,0.910522680027,7507,647,ok,,True,8,True
1,available,2023,1,-0.113147157546,0.826693254137,0.0284381334844,0.0207128720867,0.786096024847,0.867290483427,6476,6476,ok,,True,7,True
1,available,2023,2-3,-0.124168827448,0.800441107395,0.030845946133,0.0216679845077,0.75797185776,0.84291035703,11092,5995,ok,,True,7,True
1,available,2023,4-6,-0.133306506461,0.786138226643,0.0350266301934,0.0244764614593,0.738164362183,0.834112091103,13213,5128,ok,,True,7,True
1,available,2023,7+,-0.156586325134,0.729225195785,0.0469532643608,0.0305835100529,0.669281516082,0.789168875489,22023,4118,ok,,True,7,True
1,available,2024,0,-0.0845241654656,0.836048804549,0.0444557917016,0.0308099327241,0.77566133641,0.896436272688,7506,651,ok,,True,7,True
1,available,2024,1,-0.0754933929321,0.807746943192,0.0290185236434,0.0210494613378,0.766489998969,0.849003887414,6497,6497,ok,,True,7,True
1,available,2024,2-3,-0.0635122760234,0.777418462454,0.0311571840504,0.021787985732,0.734714010419,0.820122914489,11134,6007,ok,,True,7,True
1,available,2024,4-6,-0.0710969405765,0.74062740995,0.0351289511084,0.02432351349,0.69295332351,0.788301496391,13272,5097,ok,,True,7,True
1,available,2024,7+,-0.0837898052063,0.684914334587,0.0482371766467,0.0309874306089,0.624178970593,0.74564969858,21817,4097,ok,,True,7,True
1,available,2025,0,-0.0911541295369,0.891524141142,0.0330715626801,0.0252480491998,0.84203796471,0.941010317574,7514,663,ok,,True,8,True
1,available,2025,1,-0.0895034882981,0.840923369282,0.0277511194747,0.020725625634,0.800301143039,0.881545595524,6429,6429,ok,,True,7,True
1,available,2025,2-3,-0.111467283856,0.808380146416,0.0303545525441,0.0223661591631,0.764542474456,0.852217818375,11040,5998,ok,,True,7,True
1,available,2025,4-6,-0.15211918873,0.771265271235,0.0349672810993,0.0252970893131,0.721682976181,0.820847566289,13163,5090,ok,,True,7,True
1,available,2025,7+,-0.220957080136,0.707891517097,0.0455474509263,0.0310997760149,0.646935956108,0.768847078087,21490,4060,ok,,True,7,True
1,depleted,2011,0,-0.0980554217811,0.949707076454,0.0579859895991,0.0721382834589,0.808316040874,1.09109811203,358,48,ok,,True,6,True
1,depleted,2012,0,-0.150447175679,0.98699322534,0.0682674420675,0.0753876231384,0.839233483988,1.13475296669,368,48,ok,,True,6,True
1,depleted,2013,0,-0.198182414857,1.0164978688,0.0652578659223,0.074950596292,0.869594700068,1.16340103753,370,48,ok,,True,6,True
1,depleted,2014,0,-0.159536205224,0.918780722588,0.0602060600404,0.0716312655827,0.778383442046,1.05917800313,366,48,ok,,True,6,True
1,depleted,2015,0,-0.173970442343,0.919080450619,0.0711831775791,0.0887840212555,0.745063768958,1.09309713228,350,47,ok,,True,6,True
1,depleted,2016,0,-0.12226538732,0.980716798496,0.0540245363741,0.0810406334192,0.821877156995,1.13955644,364,48,ok,,True,6,True
1,depleted,2017,0,-0.243280875224,0.974084498568,0.0757365016731,0.104960492206,0.768361933845,1.17980706329,351,48,ok,,True,6,True
1,depleted,2018,0,-0.0912713234295,0.941380139698,0.0386264238396,0.0662507819441,0.811528607087,1.07123167231,339,48,ok,,True,6,True
1,depleted,2019,0,-0.15615261086,0.860743226288,0.0634010381458,0.0992814669485,0.666151551069,1.05533490151,324,46,ok,,True,6,True
1,depleted,2020,0,-0.123862394687,0.95305879214,0.0819452925143,0.0945197232995,0.767800134473,1.13831744981,340,48,ok,,True,6,True
1,depleted,2021,0,-0.128048312698,0.87420851478,0.0610905489467,0.068666132766,0.739622894559,1.008794135,365,50,ok,,True,6,True
1,depleted,2022,0,-0.20359263592,0.991688432617,0.0499689899594,0.0627442399041,0.868709722405,1.11466714283,369,48,ok,,True,6,True
1,depleted,2023,0,-0.160685844628,0.932764221168,0.0689128366437,0.0858669678167,0.764464964248,1.10106347809,379,51,ok,,True,6,True
1,depleted,2024,0,-0.0706668387251,0.964674360961,0.0632517973786,0.100736955237,0.767229928696,1.16211879323,381,51,ok,,True,6,True
1,depleted,2025,0,-0.256024782513,0.957480791354,0.0568699802917,0.0809887268288,0.798742886769,1.11621869594,381,50,ok,,True,6,True
1,common_top1,2011,0,-0.435978569463,1.3871643574,0.20306502566,0.290612601367,0.817563658724,1.95676505608,51,51,ok,,True,6,True
1,common_top1,2012,0,-0.469030749767,1.33475181515,0.16978171836,0.243342499668,0.857800515803,1.8117031145,51,51,ok,,True,6,True
1,common_top1,2013,0,-0.0532730278004,0.756927043075,0.136648440313,0.185089122445,0.394152363082,1.11970172307,51,51,ok,,True,6,True
1,common_top1,2014,0,-0.141416901955,1.17949095534,0.192112817159,0.265997396554,0.65813605809,1.70084585258,51,51,ok,,True,6,True
1,common_top1,2015,0,0.0638180064912,0.83142398862,0.108127142689,0.173047962845,0.492249981445,1.1705979958,51,51,ok,,True,6,True
1,common_top1,2016,0,-0.526793178008,1.09600210119,0.192883825099,0.252472539782,0.601155923212,1.59084827916,51,51,ok,,True,6,True
1,common_top1,2017,0,-0.455034845565,1.30920858742,0.223798631738,0.284977488568,0.750652709828,1.86776446501,51,51,ok,,True,6,True
1,common_top1,2018,0,0.0257739191299,0.751254026346,0.128231639861,0.172402361123,0.413345398545,1.08916265415,51,51,ok,,True,6,True
1,common_top1,2019,0,-0.424143405973,1.39289951186,0.20270569382,0.271984493067,0.859809905448,1.92598911827,51,51,ok,,True,6,True
1,common_top1,2020,0,-0.0237999746207,0.870735033148,0.146745231701,0.204447943212,0.470017064453,1.27145300184,51,51,ok,,True,6,True
1,common_top1,2021,0,-0.487662746112,1.15157893356,0.188588577068,0.217584440606,0.725113429975,1.57804443715,54,54,ok,,True,6,True
1,common_top1,2022,0,-0.366255457306,1.07409602611,0.196063466184,0.241485647392,0.600784157217,1.54740789499,54,54,ok,,True,6,True
1,common_top1,2023,0,-0.0628487156333,0.92451090185,0.132939869809,0.198027335224,0.536377324811,1.31264447889,54,54,ok,,True,6,True
1,common_top1,2024,0,-0.52881398897,1.36363023141,0.186989244273,0.273934606774,0.826718402137,1.90054206069,54,54,ok,,True,6,True
1,common_top1,2025,0,0.0935852857012,0.793494984602,0.139392847447,0.190901226499,0.419328580665,1.16766138854,54,54,ok,,True,6,True
1,common_top3,2011,0,-0.0992933778801,0.933832934385,0.0993295994325,0.168333670097,0.603898940994,1.26376692777,153,65,ok,,True,6,True
1,common_top3,2012,0,-0.33946734907,0.931132260006,0.10531257454,0.164217009869,0.609266920663,1.25299759935,153,68,ok,,True,6,True
1,common_top3,2013,0,-0.0818394003862,0.82677584509,0.0908193193674,0.128481189587,0.574952713499,1.07859897668,153,69,ok,,True,6,True
1,common_top3,2014,0,-0.0614016809545,0.94625744832,0.0921941238252,0.137243041388,0.6772610872,1.21525380944,153,68,ok,,True,6,True
1,common_top3,2015,0,0.0849740380657,0.846257695058,0.0877436595696,0.141484677971,0.568947726235,1.12356766388,153,67,ok,,True,6,True
1,common_top3,2016,0,-0.34208440362,0.979697967523,0.114764771225,0.153376091311,0.679080828553,1.28031510649,153,74,ok,,True,6,True
1,common_top3,2017,0,-0.231852929239,1.17920275633,0.0948900114474,0.143636314951,0.897675579024,1.46072993363,153,66,ok,,True,6,True
1,common_top3,2018,0,-0.116578748747,1.03885459117,0.0914704099117,0.126757507825,0.790409875832,1.28729930651,153,75,ok,,True,6,True
1,common_top3,2019,0,-0.400144089482,1.32005356988,0.146038758628,0.194171437189,0.939477552988,1.70062958677,153,76,ok,,True,6,True
1,common_top3,2020,0,-0.12207599975,1.03533351691,0.091194809941,0.124618664015,0.791080935443,1.27958609838,153,74,ok,,True,6,True
1,common_top3,2021,0,-0.322727436216,1.04277244051,0.10724745983,0.136957457906,0.774335823014,1.31120905801,162,77,ok,,True,6,True
1,common_top3,2022,0,-0.228164815806,1.01762379962,0.0981997458161,0.133013437219,0.756917462669,1.27833013657,162,75,ok,,True,6,True
