schema_version,population,axis,level,horizon,n,outcomes_known,outcome_coverage,players,seasons,forecast_mean,planning_mean,actual_mean,forecast_over_actual,played_fraction,deviance_positive_rates,zero_lam_n,zero_lam_positive_outcome_n,zero_lam_outcome_tds
1,available,rate_bin,"(-0.001, 0.05]",0,14029,14029,1,1336,15,0.0370791036736,0.0370791036736,0.0603749376292,0.614147279147,0.598046902844,0.371564438527,0,0,0
1,available,rate_bin,"(0.05, 0.1]",0,26007,26007,1,2142,15,0.0731341931934,0.0731341931934,0.0886684354212,0.824805274233,0.646633598647,0.461265607643,0,0,0
1,available,rate_bin,"(0.1, 0.15]",0,16878,16878,1,1979,15,0.12308280819,0.12308280819,0.140774973338,0.874323079392,0.671169569854,0.621722559662,0,0,0
1,available,rate_bin,"(0.15, 0.2]",0,10503,10503,1,1401,15,0.173241016092,0.173241016092,0.206417214129,0.839276011077,0.707607350281,0.783639351174,0,0,0
1,available,rate_bin,"(0.2, 0.3]",0,11729,11729,1,1132,15,0.244204898308,0.244204898308,0.276323642254,0.883764039571,0.849603546764,0.878846983382,0,0,0
1,available,rate_bin,"(0.3, 0.4]",0,6427,6427,1,701,15,0.346629652732,0.346629652732,0.366267309787,0.946384357735,0.949120896219,0.931333145871,0,0,0
1,available,rate_bin,"(0.4, 0.6]",0,6327,6327,1,529,15,0.482840910827,0.482840910827,0.440493124704,1.09613722383,0.971866603446,0.982898669667,0,0,0
1,available,rate_bin,"(0.6, 0.8]",0,2724,2724,1,341,15,0.68822180033,0.68822180033,0.586270190896,1.17389867508,0.95080763583,1.10416735892,0,0,0
1,available,rate_bin,"(0.8, 1.0]",0,1510,1510,1,253,15,0.89315569466,0.89315569466,0.714569536424,1.24992131505,0.85761589404,1.21557438048,0,0,0
1,available,rate_bin,"(1.0, inf]",0,6893,6893,1,223,15,1.72226228641,1.72226228641,1.45800087045,1.18124914828,0.87900768896,1.24718663098,0,0,0
1,available,availability,full,0,98471,98471,1,2548,15,0.28850158349,0.28850158349,0.282276000041,1.02205495135,0.740360106021,0.698516960061,0,0,0
1,available,availability,questionable,0,4556,4556,1,1187,15,0.252858649049,0.252858649049,0.22146619842,1.14174827063,0.706979806848,0.680804869715,0,0,0
1,available,overall,all,1,98533,92781,0.941623618483,2499,15,0.290426775803,0.286070374166,0.284627240491,1.03585435968,0.73640077171,0.725398109677,0,0,0
1,available,position,QB,1,15272,15272,1,280,15,0.809614750264,0.79747052901,0.754649030906,1.07283613588,0.526911995809,1.20600483479,0,0,0
1,available,position,RB,1,23354,23354,1,628,15,0.244691240802,0.24102087219,0.237775113471,1.02908684273,0.761025948446,0.698488566084,0,0,0
1,available,position,WR,1,34061,34061,1,912,15,0.189399147306,0.186558160096,0.196382959984,0.964437786873,0.83329908106,0.649304316438,0,0,0
1,available,position,TE,1,20094,20094,1,488,15,0.140577379833,0.138468719136,0.131432268339,1.06958041286,0.702747088683,0.520384188434,0,0,0
1,available,rate_bin,"(-0.001, 0.05]",1,12927,12121,0.937649880096,1295,15,0.0372352129954,0.0366766848005,0.0661661579078,0.562473692773,0.604075571322,0.400533365865,0,0,0
1,available,rate_bin,"(0.05, 0.1]",1,24782,23001,0.928133322573,2101,15,0.0731809606098,0.0720832462006,0.0942567714447,0.776224004072,0.654754141124,0.484011839942,0,0,0
1,available,rate_bin,"(0.1, 0.15]",1,16062,14851,0.924604656954,1930,15,0.122920556794,0.121076748442,0.155410410073,0.79156701346,0.680560231634,0.667419837514,0,0,0
1,available,rate_bin,"(0.15, 0.2]",1,10082,9603,0.9524895854,1381,15,0.173080938064,0.170484723993,0.203165677392,0.85186537927,0.695407685098,0.780306248117,0,0,0
1,available,rate_bin,"(0.2, 0.3]",1,11282,10777,0.955238432902,1112,15,0.244041820797,0.240381193485,0.273359933191,0.892282164015,0.829729980514,0.874941952087,0,0,0
1,available,rate_bin,"(0.3, 0.4]",1,6384,6118,0.958333333333,688,15,0.346177177157,0.340984519499,0.347826086957,0.995337972629,0.920235371036,0.932564700622,0,0,0
1,available,rate_bin,"(0.4, 0.6]",1,6270,5980,0.95374800638,519,15,0.484891284871,0.477617915598,0.435618729097,1.11276370057,0.940301003344,0.985369627644,0,0,0
